snapshots,London,Norwich,Norwich DC,Manchester,Bremen,Bremen DC,Frankfurt,Norway,Norway DC
2015-01-01 00:00:00,-19.6879342565,-451.2588083677,35.7962441027,469.999941023133,-204.93587901920003,-451.258808368,203.999989142625,0.0,415.527207278181
2015-01-01 01:00:00,-537.2535088090001,-1239.430707923,976.82456147,1775.99689441636,96.30532155300006,-1239.43070792,-95.9999988685170,0.0,267.090672660706
2015-01-01 02:00:00,-137.823021625,-669.063665236,250.587312046,805.999708747616,115.463244498,-669.063665237,-114.999998054963,0.0,419.764757237543
2015-01-01 03:00:00,-71.91422952079999,-683.712683893,130.753144583,753.999758942332,12.297463147799974,-683.712683892,-11.9999999977901,0.0,554.279103560781
2015-01-01 04:00:00,-83.10509273,-369.260026691,151.1001686,451.999948712580,-502.171829984,-369.260026691,501.999838212317,0.0,217.746341087885
2015-01-01 05:00:00,-512.521378568,-1723.833317526,931.857051942,2234.99374333079,699.0969567979998,-1723.83331753,-698.999563216935,0.0,802.216464790399
2015-01-01 06:00:00,-159.41655792999998,-821.718967967,289.848287145,979.999475981384,50.19664851200005,-821.718967967,-49.9999998401383,0.0,533.930850413395
2015-01-01 07:00:00,-475.388826943,-887.8567884336001,864.343321715,1361.99861761014,90.89375248900006,-887.856788433,-89.9999990676867,0.0,26.5858300939144
2015-01-01 08:00:00,-379.26749507299996,-1659.636332227,689.57726377,2037.99530380824,437.0787873680001,-1659.63633223,-436.999893271938,0.0,979.427467110101
2015-01-01 09:00:00,-345.333442269,-628.8038196337,627.878985943,972.999492326764,-551.794815682,-628.803819634,550.999786061428,0.0,2.12172178481705
