snapshots/lines,0,1,2,3,4,5,6
2015-01-01 00:00:00,90603.59653132308,184390.83604867055,-0.0,-0.0,0.0,302344.6307573482,180500.0576398877
2015-01-01 01:00:00,90603.918598126,184393.35575284553,-0.0,0.0,0.0,302343.15730465495,180500.01276454283
2015-01-01 02:00:00,90603.71270350946,184391.10942231157,-0.0,-0.0,0.0,302344.6296512444,180500.01831717434
2015-01-01 03:00:00,90603.68038524612,184391.06971613067,-0.0,-0.0,0.0,302344.6382237843,180500.00019944596
2015-01-01 04:00:00,90603.60083022302,184390.8150366678,-0.0,-0.0,0.0,302344.6226676404,180500.34903595483
2015-01-01 05:00:00,90602.36648835013,184396.61606912242,-0.0,-0.0,0.0,302339.89926375536,180500.67673247555
2015-01-01 06:00:00,90603.7892465808,184391.3165879689,-0.0,-0.0,0.0,302344.63557452185,180500.0034626039
2015-01-01 07:00:00,90603.56623870997,184392.5268702516,-0.0,0.0,0.0,302343.1563732811,180500.01121883647
2015-01-01 08:00:00,90602.63699394467,184395.40737467975,-0.0,-0.0,0.0,302341.3836411245,180500.26449996766
2015-01-01 09:00:00,90603.83921153146,184391.25116919642,-0.0,0.0,0.0,302344.62051805516,180500.42049991837
